アーティスト名,誕生日,年,グループ,事務所,その他
ウィンター,20010101,22,easpa,SM,
ウォニョン,20040831,19,ive,starship,
ガウル,20020924,22,ive,starship,
カリナ,20000411,23,easpa,SM,
サナ,19961229,27,TWIICE,JYP,
サクラ,19980319,25,Lesserafim,SOURCE MUSIC,
ジェニー,19960116,27,BLACKPINK,YG,
ジス,199501013,28,BLACKPINK,YG,
ジゼル,20001030,22,easpa,SM,
ジヒョ,19970201,26,TWICE,JYP,
ジョンヨン,19961101,27,TWICE,JYP,
リズ,20041121,19,IVE,starship,
レイ,20040203,19,IVE,starship,
ユジン,20030901,20,IVE,starship,
イェソ,20070221,16,IVE,starship,
ツウィ,19990614,24,TWICE,JYP,
モモ,19961109,27,TWICE,JYP,
ナヨン,19950922,28,TWICE,JYP,
ミナ,19970324,26,TWICE,JYP,
ダヒョン,19980528,25,TWICE,JYP,
チェヨン,19990423,24,TWICE,JYP,
イェジ,20000526,23,ITZY,JYP,
ユナ,20031209,20,ITZY,JYP,
リュジン,20010417,22,ITZY,JYP,
リア,20000721,23,ITZY,JYP,
チェリョン,20000605,22,ITZY,JYP,
ニンニン,20021023,21,easpa,SM,
リリー,20021017,21,nmixx,JYP,
ソリュン,20040126,19,nmixx,JYP,
ヘウォン,20030225,19,nmixx,JYP,
ジウ,20050413,18,nmixx,JYP,
ベイ,20041228,19,nmixx,JYP,
キュジン,20060526,16,nmixx,JYP,
ジニ,20040416,19,nmixx,JYP,
チェウォン,20000801,23,Lesserafim,SOURCE MUSIC,
ガラム,20051116,18,Lesserafim,SOURCE MUSIC,
ユンジン,20011008,22,Lesserafim,SOURCE MUSIC,
カズハ,20030809,20,Lesserafim,SOURCE MUSIC,
ウンチェ,200611010,17,Lesserafim,SOURCE MUSIC,
アイリーン,19910329,32,Res Velvet,SM,
ジョイ,19960923,27,Res Velvet,SM,
イェリ,19990305,24,Res Velvet,SM,
ウェンディー,199402221,29,Res Velvet,SM,
スルギ,19940210,29,Res Velvet,SM,
リサ,19970327,26,BLACKPINK,YG,
ロゼ,19970211,26,BLACKPINK,YG,
ソミ,20010309,22,ソロ,THE BLACK LABEL,
IU,199305416,30,ソロ,,
ヒジン,20001019,23,LOONA,BlockBerry Creative,
ヒョンジン,20001115,23,LOONA,BlockBerry Creative,
ハスル,19970818,26,LOONA,BlockBerry Creative,
ヨジン,20021111,21,LOONA,BlockBerry Creative,
ビビ,19961209,27,LOONA,BlockBerry Creative,
リプ,19990210,24,LOONA,BlockBerry Creative,
ジンソル,19970613,25,LOONA,BlockBerry Creative,
チェリ,20010604,22,LOONA,BlockBerry Creative,
イブ,19970524,26,LOONA,BlockBerry Creative,
チュウ,19991020,24,LOONA,BlockBerry Creative,
ゴウォン,20001019,23,LOONA,BlockBerry Creative,
オリビア,20011113,22,LOONA,BlockBerry Creative,
バヒエ,20040727,20,Kep1er,WAKE ONE,
ヒカル,20040327,18,Kep1er,WAKE ONE,
ユジン,19960812,27,Kep1er,WAKE ONE,
シャオティン,19991112,24,Kep1er,WAKE ONE,
チェヒョン,20020426,20,Kep1er,WAKE ONE,
イェソ,20050822,17,Kep1er,WAKE ONE,
ダヨン,20030302,19,Kep1er,WAKE ONE,
マシロ,19991216,24,Kep1er,WAKE ONE,
ヨンウン,20041227,19,Kep1er,WAKE ONE,
ナッティー,20020530,21,ソロ,SWING,
ミニョン,19900912,33,Brave Girls,Brave,
ユジョン,19910502,32,Brave Girls,Brave,
ウンジ,19920719,31,Brave Girls,Brave,
ユナ,19930406,30,Brave Girls,Brave,
ソラ,20030830,20,woo!ah!,NV,
ナナ,20010309,22,woo!ah!,NV,
ウヨン,20030211,20,woo!ah!,NV,
ミンソ,20040812,19,woo!ah!,NV,
ルーシー,20040409,18,woo!ah!,NV,
ソンイ,20040925,19,woo!ah!,NV,
スミン,20010313,22,STAYC,High-up,
シウン,20010801,22,STAYC,High-up,
アイサ,20020123,21,STAYC,High-up,
セウン,20030614,20,STAYC,High-up,
ユン,20040414,19,STAYC,High-up,
ジェイ,20041209,19,STAYC,High-up,
ヘユン,19960110,27,Cherry Bullet,FNC,
ユジュ,19970305,26,Cherry Bullet,FNC,
ボラ,19990303,24,Cherry Bullet,FNC,
ジウォン,20000904,23,Cherry Bullet,FNC,
レミ,20010426,22,Cherry Bullet,FNC,
チェリン,20020313,21,Cherry Bullet,FNC,
メイ,20041116,19,Cherry Bullet,FNC,
ヘビン,19960112,27,MOMOLAND,MLD,
ジェイン,19971220,26,MOMOLAND,MLD,
ナユン,19980731,25,MOMOLAND,MLD,
ジュイ,19990818,24,MOMOLAND,MLD,
アイン,19990927,24,MOMOLAND,MLD,
ナンシー,2000413,23,MOMOLAND,MLD,
